title,magnitude,date_time,Community Determined Intensity,alert,tsunami,TUSNAMI,Significance score,net,dmin,magType,depth,latitude,longitude,location,continent,country
"M 7.3 - 125 km NNE of Lospalos, Timor Leste",7.3,2021-12-29 18:25:00,8,green,No,0,921,us,3.713,mww,165.49,-7.5924,127.581,"Lospalos, Timor Leste",Asia,Timor-Leste
M 7.3 - Flores Sea,7.3,2021-12-14 03:20:00,9,green,Yes,1,854,us,1.025,mww,14.27,-7.6033,122.2,Flores Sea,Asia,Indonesia
"M 7.5 - 43 km NNW of Barranca, Peru",7.5,2021-11-28 10:52:00,8,yellow,Yes,1,1094,us,4.951,mww,126,-4.4898,-76.8461,"Barranca, Peru",South America,Peru
"M 6.6 - 177 km SE of Hirara, Japan",6.6,2021-11-10 15:45:00,7,green,Yes,1,688,us,3.259,mww,12,23.5414,126.48,"Hirara, Japan",Asia,Japan
"M 6.9 - 112 km E of Chignik, Alaska",6.9,2021-10-11 09:10:00,8,green,Yes,1,995,ak,0,mww,51.6,56.2581,-156.492,"Chignik, Alaska",North America,United States
M 6.9 - Vanuatu region,6.9,2021-10-09 10:58:00,4,green,Yes,1,740,us,4.778,mww,535,-21.1704,174.54,Vanuatu region,Oceania,Fiji
M 7.3 - Vanuatu region,7.3,2021-10-02 06:29:00,4,green,Yes,1,826,us,4.493,mww,527,-21.1036,174.895,Vanuatu region,Oceania,Fiji
"M 6.5 - 80 km SW of Jiquilillo, Nicaragua",6.5,2021-09-22 09:57:00,7,green,Yes,1,684,us,0.993,mww,21,12.1598,-87.8542,"Jiquilillo, Nicaragua",North America,Nicaragua
"M 7.0 - Acapulco, Mexico",7,2021-09-08 01:47:00,8,red,Yes,1,2504,us,0.07,mww,20,16.9502,-99.7877,"Acapulco, Mexico",North America,Mexico
M 7.1 - South Sandwich Islands region,7.1,2021-08-22 21:33:00,1,green,Yes,1,776,us,9.799,mww,6,-60.3026,-24.9992,South Sandwich Islands region,Antarctica,South Georgia and the South Sandwich Islands
